benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,mapAdd,0.001604,456.492,24651,0.000000,0.002018
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,total,0.001096,911.410,49216,0.000000,0.001928
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,mapValue,0.000585,454.918,24566,0.000000,0.000894
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,8,12500,1000,1,1,all,async,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,total,0.001141,873.986,47196,0.000000,0.001946
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,mapAdd,0.001663,438.218,23664,0.000000,0.002031
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,mapValue,0.000615,435.768,23532,0.000000,0.000908
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,16,6250,1000,1,1,all,async,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,mapValue,0.000608,443.852,23968,0.000000,0.000911
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,total,0.001123,888.056,47956,0.000000,0.001961
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,mapAdd,0.001639,444.204,23987,0.000000,0.002051
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,32,3125,1000,1,1,all,async,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,64,1562,1000,1,1,all,async,mapAdd,0.001654,438.596,23684,0.000000,0.002056
