benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,operation,rt,tps,ct,ar,rtP95
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,2,total,0.001426,699.901,37796,0.000000,0.003721
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,2,write,0.003105,232.864,12575,0.000000,0.004018
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,2,currTime,0.000557,232.525,12557,0.000000,0.000843
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,2,readKey,0.000620,234.512,12664,0.000000,0.000913
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,4,readKey,0.000689,220.774,11922,0.000000,0.000977
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,4,write,0.003200,222.441,12012,0.000000,0.004142
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,4,currTime,0.000600,223.305,12059,0.000000,0.000884
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,4,total,0.001497,666.519,35994,0.000000,0.003853
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,6,write,0.003156,221.958,11986,0.000000,0.004117
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,6,total,0.001503,665.566,35942,0.000000,0.003812
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,6,currTime,0.000607,221.112,11941,0.000000,0.000893
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,6,readKey,0.000744,222.495,12015,0.000000,0.001037
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,8,total,0.001553,643.491,34749,0.000000,0.003845
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,8,write,0.003189,214.415,11579,0.000000,0.004147
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,8,currTime,0.000637,213.328,11520,0.000000,0.000924
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,8,readKey,0.000834,215.748,11651,0.000000,0.001126
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,10,write,0.002859,233.004,12583,0.000000,0.003984
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,10,total,0.001427,703.494,37990,0.000000,0.003629
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,10,currTime,0.000566,235.257,12704,0.000000,0.000895
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,10,readKey,0.000867,235.232,12703,0.000000,0.001206
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,12,currTime,0.000670,197.241,10651,0.000000,0.000951
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,12,total,0.001692,590.395,31882,0.000000,0.003950
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,12,readKey,0.001097,195.642,10565,0.000000,0.001390
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,12,write,0.003303,197.512,10666,0.000000,0.004239
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,14,currTime,0.000656,202.974,10961,0.000000,0.000935
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,14,readKey,0.001199,202.431,10931,0.000000,0.001489
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,14,write,0.003084,202.276,10923,0.000000,0.004036
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,14,total,0.001645,607.681,32815,0.000000,0.003717
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,16,total,0.001890,528.544,28542,0.000000,0.004035
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,16,write,0.003369,177.377,9579,0.000000,0.004314
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,16,currTime,0.000743,175.469,9476,0.000000,0.001023
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,16,readKey,0.001543,175.698,9488,0.000000,0.001839
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,1,readKey,0.000595,224.768,12138,0.000000,0.000867
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,1,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,1,write,0.003193,223.459,12067,0.000000,0.004143
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,1,currTime,0.000702,226.132,12212,0.000000,0.000972
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,1,total,0.001491,674.359,36417,0.000000,0.003833
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,2,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,2,write,0.003192,219.605,11859,0.000000,0.004172
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,2,currTime,0.000722,216.642,11699,0.000000,0.001014
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,2,readKey,0.000651,216.235,11677,0.000000,0.000956
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,2,total,0.001530,652.483,35235,0.000000,0.003872
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,4,write,0.003261,210.939,11391,0.000000,0.004194
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,4,total,0.001576,633.168,34192,0.000000,0.003897
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,4,currTime,0.000764,211.562,11425,0.000000,0.001045
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,4,readKey,0.000705,210.667,11376,0.000000,0.000989
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,6,total,0.001576,633.133,34190,0.000000,0.003860
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,6,readKey,0.000755,212.254,11462,0.000000,0.001044
