benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,8,12500,1000,1,1,local,sync,total,0.000817,1219.633,65861,0.000000,0.001731
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,listClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,mapAdd,0.001414,602.312,32525,0.000000,0.001814
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,mapValue,0.000241,600.226,32412,0.000000,0.000512
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-sync,16,6250,1000,1,1,local,sync,mapRmv,NaN,0.000,0,NaN,NaN
